name,value,rank
Mike White,2.0,564
Carson Wentz,2.0,564
Andy Dalton,2.0,564
Jimmy Garoppolo,2.0,564
Jake Haener,2.0,564
Easton Stick,2.0,564
Max Duggan,2.0,564
Sean Clifford,2.0,564
Taylor Heinicke,2.0,564
Carson Strong,2.0,564
Skylar Thompson,2.0,564
Stetson Bennett,2.0,564
Chase Daniel,2.0,564
Colt McCoy,2.0,564
Jacob Eason,2.0,564
Tim Patrick,2.0,564
Parris Campbell,2.0,564
Quez Watkins,2.0,564
Malik Cunningham,2.0,564
Sterling Shepard,2.0,564
Derius Davis,2.0,564
DJ Chark,2.0,564
Charlie Jones,2.0,564
Xavier Gipson,2.0,564
JuJu Smith-Schuster,2.0,564
Ray-Ray McCloud,2.0,564
Arian Smith,2.0,564
Tyler Lockett,2.0,564
DeAndre Carter,2.0,564
Malik Heath,2.0,564
Tylan Wallace,2.0,564
Sammy Watkins,2.0,564
Skyy Moore,2.0,564
Allen Lazard,2.0,564
Elijah Moore,2.0,564
Brandin Cooks,2.0,564
Nelson Agholor,2.0,564
Justin Watson,2.0,564
Jalen Reagor,2.0,564
Jamison Crowder,2.0,564
Mecole Hardman,2.0,564
Ihmir Smith-Marsette,2.0,564
Terrace Marshall,2.0,564
Jason Brownlee,2.0,564
Jalin Hyatt,2.0,564
Jermaine Burton,2.0,564
Deven Thompkins,2.0,564
Tahj Washington,2.0,564
Velus Jones,2.0,564
Ben Skowronek,2.0,564
Bub Means,2.0,564
Bryce Ford-Wheaton,2.0,564
Hunter Renfrow,2.0,564
Dez Fitzpatrick,2.0,564
Marquise Goodwin,2.0,564
Xavier Restrepo,2.0,564
Braxton Berrios,2.0,564
Curtis Samuel,2.0,564
Donovan Peoples-Jones,2.0,564
Jacob Cowing,2.0,564
Johnny Wilson,2.0,564
Isaiah Hodgins,2.0,564
Tyler Scott,2.0,564
Russell Gage,2.0,564
David Moore,2.0,564
Denzel Mims,2.0,564
Richie James,2.0,564
Noah Brown,2.0,564
Rakim Jarrett,2.0,564
Brenden Rice,2.0,564
Samori Toure,2.0,564
Zay Jones,2.0,564
Cedrick Wilson,2.0,564
Devin Duvernay,2.0,564
River Cracraft,2.0,564
Trenton Irwin,2.0,564
Jalen Guyton,2.0,564
Will Mallory,2.0,564
Randall Cobb,1.0,708
Ronald Jones,1.0,708
Trayveon Williams,1.0,708
James Mitchell,1.0,708
Chris Moore,1.0,708
Kelvin Harmon,1.0,708
Bryan Edwards,1.0,708
Kameron Johnson,1.0,708
Trent Sherfield,1.0,708
DJ Turner,1.0,708
Tyler Boyd,1.0,708
Duke Johnson,1.0,708
Cole Beasley,1.0,708
Lance McCutcheon,1.0,708
Scotty Miller,1.0,708
Anthony Schwartz,1.0,708
Dee Eskridge,1.0,708
Corey Davis,1.0,708
Erik Ezukanma,1.0,708
Danny Gray,1.0,708
Willie Snead,1.0,708
Miles Boykin,1.0,708
Laviska Shenault,1.0,708
Matt Corral,1.0,708
Case Keenum,1.0,708
Clayton Tune,1.0,708
Kellen Mond,1.0,708
David Bell,1.0,708
Jaelon Darden,1.0,708
Gary Brightwell,1.0,708
Elijah McGuire,1.0,708
Boston Scott,1.0,708
Demetric Felton,1.0,708
Larry Rountree,1.0,708
Jordan Wilkins,1.0,708
Tyler Badie,1.0,708
Dontrell Hilliard,1.0,708
Mike Boone,1.0,708
Xavier Jones,1.0,708
Damien Williams,1.0,708
Raheem Blackshear,1.0,708
Latavius Murray,1.0,708
Darrynton Evans,1.0,708
Benny Snell,1.0,708
Max Borghi,1.0,708
Tevin Coleman,1.0,708
KJ Hamler,1.0,708
Tyler Johnson,1.0,708
Shi Smith,1.0,708
Josiah Deguara,1.0,708
Blake Jarwin,1.0,708
Jacob Hollister,1.0,708
Ricky Seals-Jones,1.0,708
Lucas Krull,1.0,708
Tip Reiman,1.0,708
Dan Arnold,1.0,708
Peyton Hendershot,1.0,708
Brycen Hopkins,1.0,708
Josh Oliver,1.0,708
Tyree Jackson,1.0,708
Julian Hill,1.0,708
