name,value,rank
Kenny Pickett,1.0,400
Tyrell Shavers,1.0,400
Javon Baker,1.0,400
David Bell,1.0,400
Tyler Badie,1.0,400
Sam Howell,1.0,400
Tyler Scott,1.0,400
Michael Carter,1.0,400
Brevin Jordan,1.0,400
Jared Wiley,1.0,400
Jake Bobo,1.0,400
Zach Wilson,0.9,411
J'Mari Taylor,0.9,411
Kendall Milton,0.9,411
Davis Allen,0.9,411
Bo Melton,0.9,411
Sam Roush,0.9,411
Arian Smith,0.9,411
Frank Gore,0.9,411
Frank Gore,0.9,411
Xavier Gipson,0.9,411
Jonnu Smith,0.8,421
Brock Wright,0.8,421
Sione Vaki,0.8,421
Le'Veon Moss,0.8,421
Mason Tipton,0.8,421
Dillon Gabriel,0.8,421
Skyy Moore,0.8,421
Cole Payton,0.8,421
Brenden Rice,0.8,421
Lil'Jordan Humphrey,0.8,421
Drew Lock,0.8,421
Hassan Haskins,0.8,421
Efton Chism,0.7,433
Jamari Thrash,0.7,433
Jam Miller,0.7,433
Jawhar Jordan,0.7,433
Demarcus Robinson,0.7,433
Barion Brown,0.7,433
Alexander Mattison,0.6,439
Samaje Perine,0.6,439
Bub Means,0.6,439
Jack Endries,0.4,442
Zavier Scott,0.4,442
Ty Chandler,0.4,442
Johnny Wilson,0.4,442
Ainias Smith,0.3,446
Zach Ertz,0.3,446
Joe Mixon,0.3,446
Elijah Mitchell,0.3,446
Tyler Johnson,0.2,450
Terrell Jennings,0.2,450
LaJohntay Wester,0.2,450
Jeremy Ruckert,0.2,450
Kyle McCord,0.2,450
Zay Jones,0.2,450
AJ Dillon,0.1,456
Derius Davis,0.1,456
Malik Heath,0.1,456
Dylan Laube,0.1,456
Jeremy McNichols,0.1,456
Mason Rudolph,0.1,456
Van Jefferson,0.1,456
