canonicalName,sourceName,position,team,rank,total_ranked,projection
jerzhan newton,Jer'Zhan Newton,DT17,,144,419,
germaine pratt,Germaine Pratt,LB55,,145,419,
riley moss,Riley Moss,CB19,,146,419,
marcus jones,Marcus Jones,CB20,,147,419,
teddye buchanan,Teddye Buchanan,LB56,,148,419,
trent mcduffie,Trent McDuffie,CB21,,149,419,
ljarius sneed,L'Jarius Sneed,CB22,,150,419,
braden fiske,Braden Fiske,DT18,,151,419,
dax hill,Dax Hill,CB23,,152,419,
demario davis,Demario Davis,LB57,,153,419,
taron johnson,Taron Johnson,CB24,,154,419,
kyler gordon,Kyler Gordon,CB25,,155,419,
jalyx hunt,Jalyx Hunt,DE28,,156,419,
jahdae barron,Jahdae Barron,CB26,,157,419,
divine deablo,Divine Deablo,LB58,,158,419,
jaycee horn,Jaycee Horn,CB27,,159,419,
jonathan greenard,Jonathan Greenard,DE29,,160,419,
alex highsmith,Alex Highsmith,DE30,,161,419,
jaelan phillips,Jaelan Phillips,DE31,,162,419,
byron murphy,Byron Murphy Jr.,CB28,,163,419,
darius robinson,Darius Robinson,DT19,,164,419,
drue tranquill,Drue Tranquill,LB59,,165,419,
keisean nixon,Keisean Nixon,CB29,,166,419,
jalen redmond,Jalen Redmond,DT20,,167,419,
jacob parrish,Jacob Parrish,CB30,,168,419,
dee winters,Dee Winters,LB60,,169,419,
dre greenlaw,Dre Greenlaw,LB61,,170,419,
jonathon cooper,Jonathon Cooper,DE32,,171,419,
montez sweat,Montez Sweat,DE33,,172,419,
aj terrell,A.J. Terrell Jr.,CB31,,173,419,
zyon mccollum,Zyon McCollum,CB32,,174,419,
dj reed,D.J. Reed,CB33,,175,419,
eric wilson,Eric Wilson,LB62,,176,419,
chris johnson,Chris Johnson,CB34,,177,419,
harold landry,Harold Landry III,DE34,,178,419,
dexter lawrence,Dexter Lawrence II,DT21,,179,419,
travon walker,Travon Walker,DE35,,180,419,
chase young,Chase Young,DE36,,181,419,
dru phillips,Dru Phillips,CB35,,182,419,
tyrique stevenson,Tyrique Stevenson,CB36,,183,419,
derek stingley,Derek Stingley Jr,CB37,,184,419,
mason graham,Mason Graham,DT22,,185,419,
chris jones,Chris Jones,DT23,,186,419,
odafe oweh,Odafe Oweh,DE37,,187,419,
milton williams,Milton Williams,DT24,,188,419,
patrick surtain,Patrick Surtain II,CB38,,189,419,
denzel burke,Denzel Burke,CB39,,190,419,
joey porter,Joey Porter Jr.,CB40,,191,419,
carlton davis,Carlton Davis III,CB41,,192,419,
austin booker,Austin Booker,DE38,,193,419,
kris jenkins,Kris Jenkins Jr.,DT25,,194,419,
trevin wallace,Trevin Wallace,LB63,,195,419,
ivan pace,Ivan Pace Jr.,LB64,,196,419,
kyle louis,Kyle Louis,LB65,,197,419,
sauce gardner,Sauce Gardner,CB42,,198,419,
derrick barnes,Derrick Barnes,DE39,,199,419,
bryan bresee,Bryan Bresee,DT26,,200,419,
mike green,Mike Green,DE40,,201,419,
cameron heyward,Cameron Heyward,DT27,,202,419,
henry tootoo,Henry To'oTo'o,LB66,,203,419,
pete werner,Pete Werner,LB67,,204,419,
cody barton,Cody Barton,LB68,,205,419,
deommodore lenoir,Deommodore Lenoir,CB43,,206,419,
jordan magee,Jordan Magee,LB69,,207,419,
