canonicalName,sourceName,position,team,rank,total_ranked,projection
josaiah stewart,Josaiah Stewart,DL,,249,449,
jevon holland,Jevon Holland,DB,,250,449,
arden key,Arden Key,DL,,251,449,
akheem mesidor,Akheem Mesidor,DL,,252,449,
mike green,Mike Green,DL,,253,449,
osa odighizuwa,Osa Odighizuwa,DL,,254,449,
arvell reese,Arvell Reese,LB,,255,449,
bj hill,B.J. Hill,DL,,256,449,
garrett williams,Garrett Williams,DB,,257,449,
justin walley,Justin Walley,DB,,258,449,
denzel burke,Denzel Burke,DB,,259,449,
aj terrell,A.J. Terrell,DB,,260,449,
andrew mukuba,Andrew Mukuba,DB,,261,449,
myles murphy,Myles Murphy,DL,,262,449,
bobby okereke,Bobby Okereke,LB,,263,449,
karl brooks,Karl Brooks,DL,,264,449,
dru phillips,Andru Phillips,DB,,265,449,
craig woodson,Craig Woodson,DB,,266,449,
Sauce Gardner,Ahmad Gardner,DB,,267,449,
maxwell hairston,Maxwell Hairston,DB,,268,449,
dante stills,Dante Stills,DL,,269,449,
dayo odeyingbo,Dayo Odeyingbo,DL,,270,449,
maliek collins,Maliek Collins,DL,,271,449,
travis jones,Travis Jones,DL,,272,449,
derick hall,Derick Hall,DL,,273,449,
jowon briggs,Jowon Briggs,DL,,274,449,
sheldon rankins,Sheldon Rankins,DL,,275,449,
tarheeb still,Tarheeb Still,DB,,276,449,
xavier woods,Xavier Woods,DB,,277,449,
jaycee horn,Jaycee Horn,DB,,278,449,
javon bullard,Javon Bullard,DB,,279,449,
harrison smith,Harrison Smith,DB,,280,449,
moro ojomo,Moro Ojomo,DL,,281,449,
alim mcneill,Alim McNeill,DL,,282,449,
jacob parrish,Jacob Parrish,DB,,283,449,
Pat Surtain,Patrick Surtain II,DB,,284,449,
greg newsome,Greg Newsome,DB,,285,449,
quinyon mitchell,Quinyon Mitchell,DB,,286,449,
dj turner,DJ Turner II,DB,,287,449,
mansoor delane,Mansoor Delane,DB,,288,449,
ashton gillotte,Ashton Gillotte,DL,,289,449,
gabe jacas,Gabe Jacas,DL,,290,449,
mykel williams,Mykel Williams,DL,,291,449,
avieon terrell,Avieon Terrell,DB,,292,449,
frankie luvu,Frankie Luvu,LB,,293,449,
kingsley enagbare,Kingsley Enagbare,DL,,294,449,
javon hargrave,Javon Hargrave,DL,,295,449,
grady jarrett,Grady Jarrett,DL,,296,449,
patrick jones,Patrick Jones II,DL,,297,449,
denzel ward,Denzel Ward,DB,,298,449,
chris johnson,Chris Johnson,DB,,299,449,
colton hood,Colton Hood,DB,,300,449,
calen bullock,Calen Bullock,DB,,301,449,
